id,country,year,Party,party,num_id,lhvote,lhseat,voterlr,pre_gov,post_gov,pmalt,prepmalt,partycountry,maj,pres,plu,majsurvey,nparty,wmedlrcvr,difmedlrcvr,remove_s,nelec,missing
CAN_1997,CAN,1997,CPC,C,1240006,18.8,6.6,5.907796102,0,0,0,0,CAN CPC,0,0,0,1,5,0,0.498840878,0,5,0
CAN_1997,CAN,1997,NDP,D,1240003,11,7,3.361685824,0,0,0,0,CAN NDP,0,0,0,1,5,0,2.0472694,0,5,0
CAN_1997,CAN,1997,BQ,E,1240004,10.7,14.6,3.599250936,0,0,0,0,CAN BQ,0,0,0,1,5,0,1.809704288,0,5,0
CAN_2004,CAN,2004,LP,A,1240001,36.73,43.83,5.069090909,1,1,1,1,CAN LP,0,0,1,0,4,1,0,0,5,0
CAN_2004,CAN,2004,CPC,B,1240002,29.63,32.14,6.278026906,0,0,0,0,CAN CPC,0,0,0,0,4,0,1.208935997,0,5,0
CAN_2004,CAN,2004,NDP,C,1240003,15.68,6.17,3.383283133,0,0,0,0,CAN NDP,0,0,0,0,4,0,1.685807777,0,5,0
CAN_2004,CAN,2004,BQ,D,1240004,12.39,17.53,3.684608915,0,0,0,0,CAN BQ,0,0,0,0,4,0,1.384481994,0,5,0
CAN_2008,CAN,2008,CPC,A,1240002,37.7,46.4,6.921215881,1,1,1,1,CAN CPC,0,0,1,0,5,0,1.921841272,0,5,0
CAN_2008,CAN,2008,LP,B,1240001,26.3,25,4.999374609,0,0,0,0,CAN LP,0,0,0,0,5,1,0,0,5,0
CAN_2008,CAN,2008,NDP,C,1240004,10,15.9,3.682791983,0,0,0,0,CAN NDP,0,0,0,0,5,0,1.316582626,0,5,0
CAN_2008,CAN,2008,BQ,D,1240003,18.2,12,3.52528445,0,0,0,0,CAN BQ,0,0,0,0,5,0,1.474090159,0,5,0
CAN_2008,CAN,2008,Green,E,1240005,6.8,0,3.435301924,0,0,0,0,CAN Green,0,0,0,0,5,0,1.564072685,0,5,0
CAN_2011,CAN,2011,CPC,A,1240002,39.63,53.9,7.08877551,1,1,1,1,CAN CPC,1,0,1,1,5,1,0,0,5,0
CAN_2011,CAN,2011,NDP,B,1240003,30.65,33.44,3.421052632,0,0,0,0,CAN NDP,0,0,0,1,5,0,3.667722879,0,5,0
CAN_2011,CAN,2011,LP,C,1240001,18.9,11.04,5.05046344,0,0,0,0,CAN LP,0,0,0,1,5,0,2.03831207,0,5,0
CAN_2011,CAN,2011,BQ,D,1240004,6.05,1.3,3.695259594,0,0,0,0,CAN BQ,0,0,0,1,5,0,3.393515917,0,5,0
CAN_2011,CAN,2011,Green,E,1240005,3.89,0.32,3.310077519,0,0,0,0,CAN Green,0,0,0,1,5,0,3.778697991,0,5,0
CAN_2015,CAN,2015,LP,A,1240001,39.47,54.44,4.850085179,1,1,1,0,CAN LP,1,0,1,1,5,1,0,0,5,0
CAN_2015,CAN,2015,CPC,B,1240002,31.91,29.29,7.382327952,0,0,0,1,CAN CPC,0,0,0,1,5,0,2.532242774,0,5,0
CAN_2015,CAN,2015,NDP,C,1240003,19.72,13.02,3.48502994,0,0,0,0,CAN NDP,0,0,0,1,5,0,1.365055239,0,5,0
CAN_2015,CAN,2015,BQ,D,1240004,4.67,2.96,4.00094518,0,0,0,0,CAN BQ,0,0,0,1,5,0,0.849139999,0,5,0
CAN_2015,CAN,2015,Green,E,1240005,3.43,0.3,3.085031001,0,0,0,0,CAN Green,0,0,0,1,5,0,1.765054178,0,5,0
CHE_1999,CHE,1999,SVP,A,7560001,22.5,22,7.595155709,1,1,0,0,CHE SVP,0,0,0,0,5,0,1.746428652,0,4,0
CHE_1999,CHE,1999,SP,B,7560002,22.4,25.5,3.292289988,1,1,0,0,CHE SP,0,0,1,0,5,0,2.556437069,0,4,0
CHE_1999,CHE,1999,FDP,C,7560024,19.9,21.2,6.156305506,1,1,0,0,CHE FDP,0,0,0,0,5,0.5,0.307578449,0,4,0
CHE_1999,CHE,1999,CVP,D,7560003,15.8,17.5,5.541148609,1,1,0,0,CHE CVP,0,0,0,0,5,0.5,0.307578449,0,4,0
CHE_1999,CHE,1999,Green,E,7560005,5,4.5,3.029166667,0,0,0,0,CHE Green,0,0,0,0,5,0,2.819560391,0,4,0
CHE_2003,CHE,2003,SVP,A,7560001,26.73,27.5,8.173469388,1,1,0,0,CHE SVP,0,0,1,0,5,0,2.321743087,0,4,0
CHE_2003,CHE,2003,SP,B,7560002,23.33,26,2.818039216,1,1,0,0,CHE SP,0,0,0,0,5,0,3.033687085,0,4,0
CHE_2003,CHE,2003,FDP,C,7560024,17.3,18,6.224522293,1,1,0,0,CHE FDP,0,0,0,0,5,0.5,0.372795993,0,4,0
CHE_2003,CHE,2003,CVP,D,7560003,14.38,14,5.478930308,1,1,0,0,CHE CVP,0,0,0,0,5,0.5,0.372795993,0,4,0
CHE_2003,CHE,2003,Green,E,7560005,7.4,6.5,2.90548054,0,0,0,0,CHE Green,0,0,0,0,5,0,2.94624576,0,4,0
CHE_2007,CHE,2007,SVP,A,7560001,28.9,31,8.119630813,1,1,0,0,CHE SVP,0,0,1,0,8,0,2.386880476,0,4,0
